Model_Year,Make,Model_Name,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2 Emissions,CO2_Rating,Smog_Rating
2020,Acura,ILX,Compact,2.4,4.0,AM8,Z,9.9,7.0,8.6,199.0,6,3
2020,Acura,MDX SH-AWD,SUV: Small,3.5,6.0,AS9,Z,12.3,9.2,10.9,254.0,4,3
2020,Acura,MDX SH-AWD A-SPEC,SUV: Small,3.5,6.0,AS9,Z,12.2,9.5,11.0,258.0,4,3
2020,Acura,MDX Hybrid AWD,SUV: Small,3.0,6.0,AM7,Z,9.1,9.0,9.0,210.0,5,3
2020,Acura,RDX AWD,SUV: Small,2.0,4.0,AS10,Z,11.0,8.6,9.9,232.0,5,6
2020,Acura,RDX AWD A-SPEC,SUV: Small,2.0,4.0,AS10,Z,11.3,9.1,10.3,241.0,5,6
2020,Acura,RLX Hybrid,Mid-size,3.5,6.0,AM7,Z,8.4,8.2,8.4,196.0,6,7
2020,Acura,TLX A-SPEC,Compact,2.4,4.0,AM8,Z,10.2,7.4,8.9,209.0,5,3
2020,Acura,TLX SH-AWD,Compact,3.5,6.0,AS9,Z,11.4,7.7,9.8,228.0,5,3
2020,Acura,TLX SH-AWD A-SPEC/Limited Edition,Compact,3.5,6.0,AS9,Z,12.0,8.2,10.3,240.0,5,3
2020,Alfa Romeo,4C Spider,Two-seater,1.8,4.0,AM6,Z,9.7,6.9,8.4,197.0,6,1
2020,Alfa Romeo,Giulia,Mid-size,2.0,4.0,A8,Z,10.0,7.2,8.7,205.0,6,3
2020,Alfa Romeo,Giulia AWD,Mid-size,2.0,4.0,A8,Z,10.5,7.7,9.2,217.0,5,3
2020,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6.0,A8,Z,13.5,9.3,11.6,271.0,4,3
2020,Alfa Romeo,Stelvio,SUV: Small,2.0,4.0,A8,Z,10.3,8.1,9.3,218.0,5,3
2020,Alfa Romeo,Stelvio AWD,SUV: Small,2.0,4.0,A8,Z,10.8,8.3,9.6,226.0,5,3
2020,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6.0,A8,Z,13.9,10.3,12.3,288.0,3,3
2020,Aston Martin,DB11 V8,Minicompact,4.0,8.0,A8,Z,13.0,9.8,11.5,271.0,4,3
2020,Aston Martin,DB11 AMR,Minicompact,5.2,12.0,A8,Z,15.5,10.6,13.3,312.0,3,3
2020,Aston Martin,DBS Superleggera,Minicompact,5.2,12.0,A8,Z,16.4,10.7,13.8,324.0,3,3
2020,Aston Martin,Vantage V8,Two-seater,4.0,8.0,A8,Z,13.1,9.6,11.5,270.0,4,3
2020,Aston Martin,Vantage V8,Two-seater,4.0,8.0,M7,Z,16.7,11.2,14.2,333.0,3,3
2020,Audi,A3,Subcompact,2.0,4.0,AM7,X,8.8,6.5,7.8,182.0,7,7
2020,Audi,A3 quattro,Subcompact,2.0,4.0,AM7,X,10.8,8.0,9.5,224.0,5,7
2020,Audi,A3 Cabriolet quattro,Subcompact,2.0,4.0,AM7,X,10.8,8.0,9.5,224.0,5,7
2020,Audi,A4 quattro,Compact,2.0,4.0,AM7,Z,10.0,7.3,8.8,205.0,6,3
2020,Audi,A4 allroad quattro,Station wagon: Small,2.0,4.0,AM7,Z,10.0,7.4,8.8,206.0,6,3
2020,Audi,A5 quattro,Subcompact,2.0,4.0,AM7,Z,10.0,7.3,8.8,205.0,6,3
2020,Audi,A5 Cabriolet quattro,Subcompact,2.0,4.0,AM7,Z,10.0,7.4,8.8,206.0,6,3
2020,Audi,A5 Sportback quattro,Mid-size,2.0,4.0,AM7,Z,10.0,7.3,8.8,205.0,6,3
2020,Audi,A6 quattro ,Mid-size,2.0,4.0,AM7,Z,9.8,7.4,8.7,205.0,6,5
2020,Audi,A6 quattro ,Mid-size,3.0,6.0,AM7,Z,10.9,8.2,9.7,227.0,5,5
2020,Audi,A6 allroad ,Station wagon: Mid-size,3.0,6.0,AM7,Z,11.8,9.1,10.6,247.0,4,5
2020,Audi,A7 quattro,Mid-size,3.0,6.0,AM7,Z,10.9,8.2,9.7,227.0,5,5
2020,Audi,A8L ,Full-size,3.0,6.0,AS8,Z,13.5,8.9,11.5,267.0,4,5
2020,Audi,A8L ,Full-size,4.0,8.0,AS8,Z,15.4,10.4,13.2,308.0,3,3
2020,Audi,Q3 quattro,SUV: Small,2.0,4.0,AS8,X,12.3,8.6,10.6,248.0,4,7
2020,Audi,Q5,SUV: Small,2.0,4.0,AM7,Z,10.7,8.4,9.7,226.0,5,5
2020,Audi,Q7,SUV: Standard,2.0,4.0,AS8,Z,12.4,10.1,11.3,264.0,4,3
2020,Audi,Q7,SUV: Standard,3.0,6.0,AS8,Z,13.8,11.4,12.7,296.0,3,5
2020,Audi,Q8,SUV: Standard,3.0,6.0,AS8,Z,13.8,11.4,12.7,296.0,3,5
2020,Audi,R8 Coupe,Two-seater,5.2,10.0,AM7,Z,17.5,11.7,14.9,347.0,2,1
2020,Audi,R8 Spyder,Two-seater,5.2,10.0,AM7,Z,17.5,11.7,14.9,347.0,2,1
2020,Audi,RS 3,Subcompact,2.5,5.0,AM7,Z,12.1,8.4,10.4,243.0,5,3
2020,Audi,RS Q8,SUV: Standard,4.0,8.0,AS8,Z,18.0,12.3,15.4,360.0,2,3
2020,Audi,S3,Subcompact,2.0,4.0,AM7,Z,10.7,8.0,9.5,222.0,5,3
2020,Audi,S4,Compact,3.0,6.0,AS8,Z,11.8,8.9,10.5,245.0,5,5
2020,Audi,S5,Subcompact,3.0,6.0,AS8,Z,11.8,8.9,10.5,245.0,5,5
2020,Audi,S5 Cabriolet,Subcompact,3.0,6.0,AS8,Z,12.1,9.1,10.8,252.0,4,5
2020,Audi,S5 Sportback,Mid-size,3.0,6.0,AS8,Z,11.8,8.9,10.5,245.0,5,5
2020,Audi,S6,Mid-size,2.9,6.0,AS8,Z,12.9,8.5,10.9,255.0,4,5
2020,Audi,S7,Mid-size,2.9,6.0,AS8,Z,12.9,8.5,10.9,255.0,4,5
2020,Audi,S8,Full-size,4.0,8.0,AS8,Z,17.6,10.7,14.5,339.0,2,3
2020,Audi,SQ5,SUV: Small,3.0,6.0,AS8,Z,13.1,10.3,11.8,276.0,4,5
